source_row,canonical_sha256,assistant_md5,tool_calls
472,2dd9569faa69fe64d5c27842f4dbed7ba78bd999b68da67ecd93c8cf54c39201,2c2cdf6a123e116b6e49ae6ddef99b4d,7
476,012ea62bfae2363c86ebce24cdd1508b979d7c0b4efcf1714f7891c58e77bfdf,8dcd0df17489b2ed7fa044c2a0090894,8
481,ddab0d94512fbf07f83962187125b0851f50da33faa17e4362ff9f363c60c63c,d8244b8c4975a82d3344e1a2337cc1d1,7
483,6452268697bc9d707318b72b183bba8fafb83906f250943b50804c876b42c524,adb96f71ebd06fabffcebf920d9e6d49,6
484,68cbed46d780c197c7501e788e73efc9537408557123a431e386a8ccbc297039,3b863aa2064e6fb71c9a7d01db6a8dd3,4
493,ddfcac5d69e00767479db6172b32e10d81a46fc0b95a1c7d293cc6ef4ed15892,aef719bb46a49b424c481ed7d8a19865,5
498,6bf7b8d883fb6e79bdc0ed24211684a1df4e6a8d304da715f60ed14c1c13fd60,18a0f21f463763aeb5f13cb9944b21ee,16
499,233d1eadc12bcbb9e5dbeb44c239acf5917cec5a8f7101d46ec5ead6bd5b34e7,5ac495659d208009ac53f5e8dc057738,7
529,243d280734fd90153226209dd3e696afa2bceae15dfd65878dd4590d2f6d46bb,c9e1d14f45f09b32fa843589b27bd995,6
553,14ade44b68a5e74c01a6510b79814cf4d557ec8f0ceb71ea937ed38b2b6ccad4,53e12cf411ed78a2203603ab603b2e28,19
558,30d60354c619e78d254e3544cc57491c66b6c300743b3a0c3b9e7f54b34173be,5f7fe6fef59113852647fa85a3997c3a,13
566,d1830e2ad7f7fd893756f17535440810c1f5d55715f03e57eed41c11ca94815c,05207dd30e497da281178894447c3fa9,12
573,e2504ec92169e674809708088660a08911e920c7afc54ef76ad7dd77fdcba414,154ed7ff87116f298ec29c3439f5ec88,7
604,4c06ec095ec5e2a65ae4ab84d81d9f93e724a22b7d5edf09edecb6ae35111a94,b4ae35e35e38348813db27496a61ac27,13
617,28f3121fee0fb9df6e990a2605828c2a185664f91f53d4c8f9d08589db66560b,0c9eb66a6f0697aeb120ed7239bd02d8,17
620,7e86d582757ce5220e03abedbc8a1671c3b1fa92d618ce7562ae3493de6eb340,6da38c6a6e92c46cc963e5f7d42740c6,10
663,65ca41884931e224eb199a34b27e47d3aa86951da440c1332149c9172a6a3ff9,721c7f0bae158e4a8e7fd14dfa905058,11
674,426cc878bf633d8657fb1f9940c9174d11f7efa886f62e6b6f1d29b193ef2394,90befe06ea7dd60f49f7a65bf164570c,15
692,a3b88d63c832af72b93d8a59c1815df87414557b4ea862447d39ca1ef86d556d,b8c80c8a483db6d09fb9b9d1a7b184ac,5
709,706003fa80eb0a410d685c3a9326ffe82e498359ea9e7e55ee293bba67ae18a2,07b793667e83f23323966b8b2473e1b4,3
719,c93efe571cd9a52b2c2b4698099618d07c5ab044df373d310e2f7f663acfc067,323cdee34fa17acfad88d83a950e1519,4
742,a6d7f5a655742e4cc704e77877990c1f9410323aef8c38f9967a27825de5e799,9544624b22e88cbcca1172b4d3620ba9,4
776,4e9d84b9439b5c9a3b3db35556b63aebbdbcea5e0b91ba8856cccc41fde7d70a,1598b166d73a140c357eecd8067d2566,6
790,a3bd93e2171e4fb81f4f4cd7519e4ff33773c5bc1d242f35cd12b1a631567242,1cac8345a7cf17c3d19e969a0b2505e5,3
794,e90747e3a71ea2d00ee5e3509d9f668dc3c618f49aacaecc6403c042c989126e,2973979357a2931da745955a208b5a60,3
803,6c871e1785ea6c622077fb35ce38c0fc047757ff895ec9fa11177f7898f5ba7a,0d19b070d5566a8d625daa0e0ad73947,8
806,e81a9a7d35d744a1ba554ee6b6e929f34527f10a10773a58179bde31819ad527,66cfcce9b3c2906b18408f236cfe2ac4,5
807,663aed52e6c0a4de71aba60736e5d0bffcd9739ffe64b8ccf5186f4562ea4c4a,10dbe8cdc9af12c63953671ef9c138a9,2
809,2ec30a1b3c6eb7342ec342373be12be78297a4537b595c9e73fb676cb46ec923,8117b693d808bdf145cfac955d6c11c0,3
811,d615aa31a664d61a10f4315a75807a5c67975ac1d29bda01c79c44c6563ca2e3,7476aad1da64dd62a08be5af24564f77,5
816,5c0303ca022eecb9557a4f6ea2993ad0a94900db3fe93ebc4e05f661d268baa8,751f2ae0b74f175572f40c9f3010959c,4
820,51b7591a0dc63c8d43fd14bad3ac2386da228b920651a9df505965568e702627,38b41b06c4e28e8ac0c9618812b64830,3
848,6660d01407b1e0502b51121560e250615439f05d6facf30b011c9e007f3f5768,3e5643db3c25ca4efdb840a2066b24f8,1
854,fa839fa73901dd7e98b66ff9e9e2080b0e6e021c225256f67fd61a2c20a4b661,406add61ebf233c8642bf5f8a01d914f,4
859,c3fcb9cb3d192f3faef98e3113ba3860b3ffc2b57c4f4fc69a6faa9afe2cba4a,52710ac5d17c7856b8725070790755b7,3
868,0600509d54d17f8092d0f1ca625bc73c1eae00f6e11a883bcab8b7b477a4181f,0c978d8f8f6e13f0421584b3f6dcf88b,6
923,97310c485c0cd46f837d23af4e9251d14af03ff54a8e2d7b1b8c58e9c3962d78,94605aee09b33047435476b3644502e7,8
926,bc15f0e00f941f6966ca605308c9a1b41952490cdbf55176502544f124617b7e,023202fb2944f8cb3a3fdc0f1475599c,2
941,18bfa011904df9c78b51ed142eba0a2dbab055ede7176de494dab2f51f88874d,ad3a49e620d52c7d5b382cec1d3ad3fa,7
963,fdd0258c0da666be62f4b43f185d61f4f33718118a05fcbf79ff83ed57773437,d0437747c7423971365df82aa8d5ec62,1
965,9ff4303f807cd81eb8c9250720a1d9f49bc9a1117f6a1701f9402c925456c937,89f24c772a1dc3ddc0914352c78185e7,4
1009,4447ada8a1cbefa32a9dce053a7d1944b988b66d84cd6dc9d9312ff9f027f39d,ff7cbe922f0f948dcb8d2e9847ff49c0,3
1035,cf0998bfc79c156dcfe3aeb814a961a38b79eab0d6fd66914c24ab595efcae1c,d8b1d779426532375b5b124e2573f532,7
1055,7461c06d4d8e82a935a9c80939f893baf4880fa3c5e637c561241b5633fa3bb0,1d871de9296b618ba27127db093f7642,4
1064,3912af2c3898ed586b454bf323dc783c96263b760c970c565ab29a2d7d9fc6ec,4bb1314a04a7a1f1f18f01fd151729fb,7
1071,38c6fa0434dd6f053b035c2e370cbc9e2e45ecb091ae9d5cfa69abc6ac120fc0,ee69dae68dccddfbd6b2bb7f988eaccb,5
1076,35723ff9075f0adc7baf14d3aaee4c1553487f4f15e81e797e7f1a21a6de80ae,bdd6eaeeccc7683a0425f76d797ae4c1,3
1087,f09ac754cf2cc7d9b4b73ba620f75f457394980710d50792246cf2856cce083b,347766e3b3def26248a1866462fa94ee,5
1095,e134226877862cfd2bd37fa6a628b20615b0d949218205c690a1a1699d317d54,c87b734a2e0ece6d9dd47b098b204474,1
1131,d0ecd7e1f802c188138c68bb04e09a11cf8085e594b5ff92b58162b4c3f08d18,07a5dd3659795a1414daa2f66478f2d3,7
1132,f7f9ba0002aa9e35b61e0f479f65f506f6839c02337aacb6ffdade87cb4b09df,36c368029a1e21d23367686e912baec2,4
